source,target,type,evidence
Gia Long,Nguyễn Phúc Thuần,LÀ_ANH_CHỊ_EM_CỦA,"Giữa năm 1777, Thái thượng vương Nguyễn Phúc Thuần, Tân Chính vương Nguyễn Phúc Dương cùng vài người anh em ruột của Nguyễn Ánh và nhiều người khác trong gia tộc chúa Nguyễn bị Nguyễn Huệ bắt giết hết..."
Gia Long,Nam Bộ,ĐỐI_THỦ_CỦA,"Tháng 11 âm lịch năm 1777, ông tập hợp một đạo quân mặc toàn áo tang bất ngờ tấn công dinh Long Hồ và sau đó nhanh chóng đuổi quan trấn thủ Tây Sơn tại Gia Định là Tổng đốc Chu (hay Tổng đốc Châu), lấ..."
Gia Long,Phạm Đăng Hưng,LIÊN_KẾT_TỚI,"Còn giáo sư Alexander Woodside, giảng dạy tại khoa lịch sử thuộc Đại học British Columbia, vụ án của Nguyễn Văn Thành là một ""vụ án nổi tiếng nhưng không rõ ràng"" và vụ án này ""chỉ rõ quyền lực tuyệt ..."
Gia Long,Thái Lan,PHỐI_NGẪU_VỚI,"Khi ở Xiêm, người Xiêm gọi Nguyễn Ánh là Ong Chiang Su (องเชียงสือ, Chiang Sue) tức Ông Thượng Sư, sau này nhiều tài liệu khác của Thái Lan cũng hay đề cập tới Nguyễn Ánh với tên này.   == Lưu vong ở ..."
Gia Long,Thái Lan,ĐỐI_THỦ_CỦA,"Chính vì việc tăng thuế khóa quá nặng so với thời Tây Sơn nên dân chúng rất bất bình, góp phần tạo nên nhiều cuộc khởi nghĩa chống nhà Nguyễn vào thời Gia Long và tâm lý hoài niệm triều Tây Sơn của ng..."
Gia Long,Võ Tánh,ĐƯỢC_PHỤC_VỤ_BỞI,"Việc tồn tại 2 câu ca dao trái ngược nhau cho thấy lòng dân khi đó khá mâu thuẫn về việc nên ủng hộ bên nào.   === Chiến trận giằng co === Tháng 4 âm lịch năm 1793, Nguyễn Ánh cùng các tướng Võ Duy Ng..."
Gia Long,Võ Tánh,CHỈ_HUY_CỦA,"Cuối năm 1799, hai đại tướng Tây Sơn là Thiếu phó Trần Quang Diệu và Tư đồ Vũ Văn Dũng đã kéo quân bộ và thủy vào đánh thành Bình Định, hai ông tiến quân nhanh chóng vì quân phòng thủ Nguyễn do Võ Tán..."
Gia Long,Nguyễn Phúc Ngọc Tuyền,LÀ_ANH_CHỊ_EM_CỦA,"Trả thù cho những việc Tây Sơn đã làm với bản thân Nguyễn Ánh trước kia: quật lăng mộ của cha ông là Nguyễn Phúc Luân và lấy hài cốt ném xuống sông, các anh em ruột của ông là Nguyễn Phúc Đồng, Nguyễn..."
Gia Long,Hoàng đế,LÀ_CON_CỦA,"Về sau, vua Minh Mạng đặt thụy hiệu cho ông là Khai thiên Hoằng đạo Lập kỷ Thùy thống Thần văn Thánh vũ Tuấn đức Long công Chí nhân Đại hiếu Cao Hoàng đế (開天弘道立紀垂統神文聖武峻德隆功至仁大孝高皇帝).   === Truyền ngôi c..."
Gia Long,Hoàng đế,LÀ_CHA_CỦA,"Thân phụ: Nguyễn Phúc Luân, về sau truy tôn làm Hưng Tổ Hiếu Khang Hoàng đế (興祖孝康皇帝)."
Gia Long,Võ Trường Toản,LÀ_HỌC_TRÒ_CỦA,"Ngoài ra, nhiều sĩ phu lục tục ra giúp Nguyễn Ánh, trong đó nổi bật nhất là nhóm học trò của nhà nho Võ Trường Toản."
Gia Long,Lê Chiêu Thống,ĐỐI_THỦ_CỦA,"Năm 1789, khi nghe tin Lê Chiêu Thống mời quân Thanh sang đánh Tây Sơn, Nguyễn Ánh sai Phạm Văn Trọng và Lâm Đồ mang thư khích lệ và chở 50 vạn cân gạo ra giúp quân Thanh, nhưng thuyền đi giữa đường b..."
Gia Long,Quang Trung,ĐỐI_THỦ_CỦA,"Về sau, lúc Tây Sơn suy yếu sau cái chết đột ngột của vua Quang Trung vào năm 1792, Nguyễn Ánh bắt đầu tiến đánh nhà Tây Sơn và đến năm 1802 thì đánh bại Tây Sơn, lên ngôi hoàng đế, lập ra nhà Nguyễn,..."
Gia Long,Quang Trung,LÀ_CHA_CỦA,"Tuy nhiên vận may lại đến với Nguyễn Ánh khi vua Quang Trung đột ngột qua đời (1792), con là Nguyễn Quang Toản còn nhỏ tuổi lên nối ngôi, hiệu là Cảnh Thịnh."
Gia Long,Nguyễn Ái Quốc,LIÊN_KẾT_TỚI,"Gia Long còn là người hết sức cảnh giác trước mưu đồ thâm nhập Việt Nam của tư bản Pháp và Tây Âu, là người quyết tâm bảo vệ vẹn toàn lợi ích quốc gia - dân tộc trước sức ép của chủ nghĩa tư bản Pháp ..."
Gia Long,Ngô Thì Nhậm,ĐƯỢC_PHỤC_VỤ_BỞI,Các quan văn khác của Tây Sơn như Ngô Thì Nhậm và Phan Huy Ích ra hàng thì cho đánh đòn và được tha về (riêng Ngô Thì Nhậm thì bị Đặng Trần Thường trước có thù riêng nên cho người đánh chết).
Gia Long,Minh Hương,LIÊN_KẾT_TỚI,"Chính phủ Pháp chỉ còn ghi nhớ hiệp ước 1787 về công cuộc trợ giúp của người Pháp đối với Nguyễn Ánh ở Việt Nam, ngoài ra không còn một bằng cớ xác đáng nào về vấn đề đó.   == Cai trị vùng Gia Định ==..."
Gia Long,Lê Hiển Tông,LIÊN_KẾT_TỚI,"Loạn lạc liền nổ ra ở Bắc Hà: sĩ phu trung thành với nhà Lê nổi lên tôn Lê Duy Cận (Thực lục ghi là Lê Duy Vạn, con Lê Hiển Tông) làm minh chủ, Duy Cận liên lạc với Nguyễn Ánh để cùng đánh Tây Sơn, vi..."
Gia Long,Bùi Thị Xuân,PHỐI_NGẪU_VỚI,"Lúc tới Nghệ An thì thấy thành đã mất, quân sĩ bỏ chạy gần hết, vợ chồng Trần Quang Diệu và Bùi Thị Xuân bị bắt."
Gia Long,Bùi Thị Xuân,ĐỐI_THỦ_CỦA,Hoàng Phủ Ngọc Tường ghi rằng nhánh họ Bùi của nữ tướng Bùi Thị Xuân đã bị Gia Long giết sạch.
Gia Long,Hồ Văn Bôi,LIÊN_KẾT_TỚI,"Các thuộc hạ cùng đi sang Xiêm với Nguyễn Ánh là Tôn Thất Hội, Trương Phước Giáo, Hồ Văn Bôi, Lưu Văn Trung, Nguyễn Văn Trị, Nguyễn Văn Huấn, Trần Văn Xạ, Nguyễn Văn Tồn (người Khmer),  Bùi Văn Khoan,..."
Gia Long,Phạm Văn Tham,ĐỐI_THỦ_CỦA,"Phạm Văn Tham tấn công Mỹ Tho, quân Nguyễn Ánh thua, chỉ còn hơn trăm người và vài chục chiến thuyền chạy về Hổ Châu."
Gia Long,Lê Duy Cận,LIÊN_KẾT_TỚI,"Loạn lạc liền nổ ra ở Bắc Hà: sĩ phu trung thành với nhà Lê nổi lên tôn Lê Duy Cận (Thực lục ghi là Lê Duy Vạn, con Lê Hiển Tông) làm minh chủ, Duy Cận liên lạc với Nguyễn Ánh để cùng đánh Tây Sơn, vi..."
Gia Long,Đinh Mão,ĐƯỢC_BỔ_NHIỆM_BỞI,"Ngày 2 tháng 9, Gia Long phong cho Nặc Ông Chân làm Quốc vương Cao Miên rồi sai Ngô Nhơn Tĩnh, Trần Công Đàn làm Chánh phó sứ mang sắc phong và ấn mạ vàng có núm hình lạc đà đến Chân Lạp, làm lễ sách ..."
Gia Long,Vũ Văn Dũng,CHỈ_HUY_CỦA,"Cuối năm 1799, hai đại tướng Tây Sơn là Thiếu phó Trần Quang Diệu và Tư đồ Vũ Văn Dũng đã kéo quân bộ và thủy vào đánh thành Bình Định, hai ông tiến quân nhanh chóng vì quân phòng thủ Nguyễn do Võ Tán..."
Gia Long,Vũ Văn Dũng,ĐỐI_THỦ_CỦA,"Tháng 6 âm lịch năm 1800, hai tướng Nguyễn là Nguyễn Văn Thụy và Lưu Phước Tường phối hợp với quân Vạn Tượng đánh xuống Nghệ An và Thanh Hóa gây cản trở quân Tây Sơn ở phía Bắc.   === Trận Thị Nại ===..."
Gia Long,Lê Thánh Tông,ĐỐI_THỦ_CỦA,"Dưới thời Lê Thánh Tông, nhà Hậu Lê từng đánh bại Bồn Man và lấy đất đặt làm phủ Trấn Ninh gồm 8 huyện."
Gia Long,Thái y viện,LIÊN_KẾT_TỚI,"Về nguyên nhân qua đời, nhà nghiên cứu-lương y Lê Hưng VKD sau khi nghiên cứu ""ngự dược nhật ký"" năm Kỷ Mão - 1819 (nhật ký ghi chép lại 94 lần kê toa (gồm 24 bài thuốc) của Thái y viện triều Nguyễn đ..."
Gia Long,Nam Việt,LIÊN_KẾT_TỚI,Nguyễn Ánh và 4 anh em trong nhà đi theo Nguyễn Phúc Thuần chạy vào Quảng Nam rồi vượt biển vào khu vực Gia Định (vùng miền Nam Việt Nam ngày nay).
Gia Long,Lê Quang Định,LIÊN_KẾT_TỚI,"Nguyễn Ánh cho đặt nhóm quan điền toán gồm 12 người (một số vị nổi bật là Trịnh Hoài Đức, Lê Quang Định, Ngô Tòng Châu, Hoàng Minh Khánh) để đi bốn dinh miền Nam là Phiên Trấn, Trấn Biên, Trấn Vĩnh, T..."
Gia Long,Huỳnh Minh,PHỐI_NGẪU_VỚI,"Tháng 7 âm lịch, dò biết được Ánh đang đóng ở ngoài đảo (là đảo nào thì sử liệu chép khác nhau: Huỳnh Minh ghi rằng Phú Quốc, Tạ Chí Đại Trường cho là Cổ Long còn Thực lục thì lại chép là Côn Lôn), Ng..."
Gia Long,Huỳnh Minh,ĐỒNG_MINH_VỚI,"Theo Huỳnh Minh, thời gian này ông cũng nhận được sự giúp đỡ mạnh mẽ hơn của người Pháp thông qua Giám mục Bá Đa Lộc."
Gia Long,Đinh Gia Khánh,LIÊN_KẾT_TỚI,"Giáo sư Đinh Gia Khánh cho rằng hiệp ước Versailles năm 1787 của Nguyễn Ánh do Bá Đa Lộc thay mặt ký với Pháp là một hiệp ước ""bán nước, phản bội dân tộc""."
Gia Long,Lê Chất,LIÊN_KẾT_TỚI,Đô đốc Tây Sơn là Lê Chất hàng Nguyễn Ánh.
Gia Long,Nguyễn Huệ,ĐỐI_THỦ_CỦA,"Phúc Luân bị bắt giam và chết trong ngục; năm đó Nguyễn Ánh mới 4 tuổi.   == Trốn chạy Tây Sơn == Khi Nguyễn Ánh được 9 tuổi (1771), 3 anh em Nguyễn Nhạc, Nguyễn Huệ, Nguyễn Lữ lấy binh ở Tây Sơn chốn..."
Gia Long,Nguyễn Huệ,PHỐI_NGẪU_VỚI,"Tháng 7 âm lịch, dò biết được Ánh đang đóng ở ngoài đảo (là đảo nào thì sử liệu chép khác nhau: Huỳnh Minh ghi rằng Phú Quốc, Tạ Chí Đại Trường cho là Cổ Long còn Thực lục thì lại chép là Côn Lôn), Ng..."
Gia Long,Nguyễn Phúc Mỹ Đường,LÀ_CON_CỦA,"Vốn là con trai cả, Nguyễn Phúc Cảnh, cũng như người con trai thứ hai và thứ ba của Gia Long đều đã mất trước khi ông lên ngôi vua (1802) nên ông phải quyết định chọn người kế lập trong số các con chá..."
Gia Long,Phan Huy Ích,ĐƯỢC_PHỤC_VỤ_BỞI,Các quan văn khác của Tây Sơn như Ngô Thì Nhậm và Phan Huy Ích ra hàng thì cho đánh đòn và được tha về (riêng Ngô Thì Nhậm thì bị Đặng Trần Thường trước có thù riêng nên cho người đánh chết).
Gia Long,Nguyễn Phúc Điển,LÀ_MẸ_CỦA,"Em trai: Nguyễn Phúc Điển (阮福晪 ? - 1783), mẹ là Ý Tĩnh Khang Hoàng hậu, được tặng Trung Tráng Thông Hóa Quận vương (通化忠壯郡王)."
Gia Long,Nguyễn Phúc Điển,LÀ_ANH_CHỊ_EM_CỦA,"Trả thù cho những việc Tây Sơn đã làm với bản thân Nguyễn Ánh trước kia: quật lăng mộ của cha ông là Nguyễn Phúc Luân và lấy hài cốt ném xuống sông, các anh em ruột của ông là Nguyễn Phúc Đồng, Nguyễn..."
Gia Long,Đỗ Thành Nhơn,ĐỐI_THỦ_CỦA,"Đỗ Thành Nhơn: phò trợ Nguyễn Phúc Thuần, rồi sau là Nguyễn Ánh; nhưng vì cho là mình có công lớn nên lấn át chúa; về sau bị Nguyễn Ánh lập mưu giết chết năm 1781 Lê Văn Quân: đại đô đốc thủy quân của..."
Gia Long,Võ Văn Dũng,ĐỐI_THỦ_CỦA,"Tuy nhiên, chính lúc này nội bộ Tây Sơn lại nổ ra mâu thuẫn, các tướng tranh quyền: Tư khấu Võ Văn Dũng giết Thái sư Bùi Đắc Tuyên và Ngô Văn Sở trong khi Quang Toản bất lực không làm gì được."
Gia Long,Trương Phúc Loan,NHIẾP_CHÍNH_CHO,"Nhưng quan phụ chính Trương Phúc Loan chuyên quyền, bèn sửa di chiếu lập con thứ 12 của Vũ vương là Phúc Thuần làm chúa."
Gia Long,Nguyễn Phúc Hạo,LÀ_MẸ_CỦA,"Anh chị em: Anh cả: Nguyễn Phúc Hạo (阮福暭), mẹ là Nguyễn Từ phi, thụy phong Cung Mục Tương Dương Quận vương (襄陽恭穆郡王)."
Gia Long,Nguyễn Phúc Hạo,LÀ_ANH_CHỊ_EM_CỦA,"Trả thù cho những việc Tây Sơn đã làm với bản thân Nguyễn Ánh trước kia: quật lăng mộ của cha ông là Nguyễn Phúc Luân và lấy hài cốt ném xuống sông, các anh em ruột của ông là Nguyễn Phúc Đồng, Nguyễn..."
Gia Long,Phạm Quý Thích,LIÊN_KẾT_TỚI,"Với khu vực Bắc Hà, ông thi hành một chính sách hai mặt: một mặt Gia Long tỏ vẻ tôn trọng nhà Hậu Lê, ông phong quan tước cho con cháu nhà Lê (ví dụ như Lê Duy Hoán được phong 1016 tự dân và 10.000 mẫ..."
Gia Long,Nguyễn Phúc Mân,LÀ_MẸ_CỦA,"Em trai: Nguyễn Phúc Mân (阮福旻 ? - 1783), mẹ là Nguyễn Từ phi, được tặng Trung Hoài An Biên Quận vương (安邊忠懷郡王)."
Gia Long,Nguyễn Phúc Mân,LÀ_ANH_CHỊ_EM_CỦA,"Trả thù cho những việc Tây Sơn đã làm với bản thân Nguyễn Ánh trước kia: quật lăng mộ của cha ông là Nguyễn Phúc Luân và lấy hài cốt ném xuống sông, các anh em ruột của ông là Nguyễn Phúc Đồng, Nguyễn..."
Gia Long,Nguyễn Đăng Sở,LIÊN_KẾT_TỚI,"Với khu vực Bắc Hà, ông thi hành một chính sách hai mặt: một mặt Gia Long tỏ vẻ tôn trọng nhà Hậu Lê, ông phong quan tước cho con cháu nhà Lê (ví dụ như Lê Duy Hoán được phong 1016 tự dân và 10.000 mẫ..."
Gia Long,Nguyễn Nhạc,ĐỐI_THỦ_CỦA,"Phúc Luân bị bắt giam và chết trong ngục; năm đó Nguyễn Ánh mới 4 tuổi.   == Trốn chạy Tây Sơn == Khi Nguyễn Ánh được 9 tuổi (1771), 3 anh em Nguyễn Nhạc, Nguyễn Huệ, Nguyễn Lữ lấy binh ở Tây Sơn chốn..."
Gia Long,Nguyễn Nhạc,LÀ_CHA_CỦA,Nguyễn Nhạc cho con là Nguyễn Văn Bảo ra chống giữ và cầu cứu Phú Xuân.
Gia Long,Đồng Tháp,LIÊN_KẾT_TỚI,"Theo giai thoại, ông dẫn quân về nơi ngày nay là Lấp Vò (Đồng Tháp), bị quân Tây Sơn truy đuổi, khi đi qua vùng đất ẩm đoàn quân để lại dấu chân rất dễ bị địch lần theo."
Gia Long,Hiệp ước Versailles 1787,LIÊN_KẾT_TỚI,Còn Paris thì các nhà cầm quyền từ Đệ nhất Đế chế đến Đệ tam Cộng hòa đều không lúc nào quên Hiệp ước Versailles 1787.
Gia Long,Cao Bằng,LIÊN_KẾT_TỚI,"Còn 6 ngoại trấn là Tuyên Quang, Hưng Hóa, Cao Bằng, Lạng Sơn, Thái Nguyên, Quảng Yên, thì cứ 10 nam đinh tuyển lấy một lính."
Gia Long,Vũ Trinh,LIÊN_KẾT_TỚI,"Với khu vực Bắc Hà, ông thi hành một chính sách hai mặt: một mặt Gia Long tỏ vẻ tôn trọng nhà Hậu Lê, ông phong quan tước cho con cháu nhà Lê (ví dụ như Lê Duy Hoán được phong 1016 tự dân và 10.000 mẫ..."
Gia Long,Nguyễn Phúc Luân,LÀ_CHA_CỦA,"Thân phụ: Nguyễn Phúc Luân, về sau truy tôn làm Hưng Tổ Hiếu Khang Hoàng đế (興祖孝康皇帝)."
Gia Long,Nguyễn Phúc Luân,LÀ_ANH_CHỊ_EM_CỦA,"Trả thù cho những việc Tây Sơn đã làm với bản thân Nguyễn Ánh trước kia: quật lăng mộ của cha ông là Nguyễn Phúc Luân và lấy hài cốt ném xuống sông, các anh em ruột của ông là Nguyễn Phúc Đồng, Nguyễn..."
Gia Long,Nguyễn Thị Hoàn,LÀ_MẸ_CỦA,"Thân mẫu: Nguyễn Thị Hoàn (阮氏環 1736 - 1811), về sau truy tôn làm Ý Tĩnh Hiếu Khang Hoàng hậu (懿靜孝康皇后)."
Gia Long,Đặng Trần Thường,ĐỐI_THỦ_CỦA,"Đỗ Thành Nhơn: phò trợ Nguyễn Phúc Thuần, rồi sau là Nguyễn Ánh; nhưng vì cho là mình có công lớn nên lấn át chúa; về sau bị Nguyễn Ánh lập mưu giết chết năm 1781 Lê Văn Quân: đại đô đốc thủy quân của..."
Gia Long,Đặng Trần Thường,KẾ_NHIỆM_CỦA,"Hai tháng sau khi Nguyễn Văn Thành qua đời, hoàng tử Nguyễn Phúc Đảm được lập ngôi Thái tử và sau đó kế vị Gia Long trở thành Minh Mạng, hoàng đế thứ hai của nhà Nguyễn.   ==== Vụ án Đặng Trần Thường ..."
Gia Long,Trương Phước Thận,ĐỐI_THỦ_CỦA,"Chúa sai Chưởng cơ Trương Phước Thận, Phó Tiết chế Nguyễn Cửu Tuấn theo giúp Nguyễn Ánh thảo phạt."
Gia Long,Nguyễn Kim,PHỐI_NGẪU_VỚI,"Nguyễn Ánh sai Nguyễn Kim Phẩm lấy lại Hà Tiên và cho Thái trưởng công chúa là Ngọc Đảo (con gái thứ bảy của chúa Nguyễn Phúc Khoát, gả cho Trương Phước Nhạc là Cai cơ thuyền Nghi Giang) lo việc quân ..."
Gia Long,Nguyễn Kim,CHỈ_HUY_CỦA,"Tháng 4 âm lịch, Nguyễn Ánh sai Nguyễn Kim Phẩm làm tiên phong và Nguyễn Huỳnh Đức chỉ huy một đạo quân người Chân Lạp làm hậu ứng, tập hợp cùng các tướng Tôn Thất Dụ, Nguyễn Đình Huyên, Lại bộ Hồ Đồn..."
Gia Long,Gia Định,ĐỐI_THỦ_CỦA,"Tháng 11 âm lịch năm 1777, ông tập hợp một đạo quân mặc toàn áo tang bất ngờ tấn công dinh Long Hồ và sau đó nhanh chóng đuổi quan trấn thủ Tây Sơn tại Gia Định là Tổng đốc Chu (hay Tổng đốc Châu), lấ..."
Gia Long,Gia Định,PHỤC_VỤ_CHO,"Về phía Xiêm La, Đệ nhị vương sau khi truy đuổi không thành thì trở về hoàng cung đề nghị vua Rama cử chiến thuyền phong tỏa bờ biển hòng bắt đám người Việt trở về, nhưng nhà vua đã từ chối.   == Về n..."
Gia Long,Phạm Ngạn,ĐỐI_THỦ_CỦA,Quân Nguyễn Ánh giết được Hộ giá Tây Sơn là Phạm Ngạn ở cầu Tham Lương.
Gia Long,Trần Văn Giàu,LIÊN_KẾT_TỚI,Giáo sư Trần Văn Giàu nhận xét:  ...đúng là sĩ quan Pháp đã giúp nhiều cho Nguyễn Ánh đánh Tây Sơn.
Gia Long,Cao Miên,ĐƯỢC_BỔ_NHIỆM_BỞI,"Ngày 2 tháng 9, Gia Long phong cho Nặc Ông Chân làm Quốc vương Cao Miên rồi sai Ngô Nhơn Tĩnh, Trần Công Đàn làm Chánh phó sứ mang sắc phong và ấn mạ vàng có núm hình lạc đà đến Chân Lạp, làm lễ sách ..."
Gia Long,Nguyễn Du,LIÊN_KẾT_TỚI,"Theo Nguyễn Duy Chính, việc Nguyễn Ánh - với tư cách là một phiên thần của triều đình Xiêm La lại tự ý liên lạc với nước ngoài, là một điều cấm kỵ, đi ngược lại với giao kết đối với một thuộc quốc: ""t..."
Gia Long,Đinh Sửu,LIÊN_KẾT_TỚI,"Oan ức và tức giận, Nguyễn Văn Thành uống thuốc độc tự tử vào năm Đinh Sửu (1817), Nguyễn Văn Thuyên thì bị xử án chém."
Gia Long,Nguyễn Huỳnh Đức,CHỈ_HUY_CỦA,"Tháng 4 âm lịch, Nguyễn Ánh sai Nguyễn Kim Phẩm làm tiên phong và Nguyễn Huỳnh Đức chỉ huy một đạo quân người Chân Lạp làm hậu ứng, tập hợp cùng các tướng Tôn Thất Dụ, Nguyễn Đình Huyên, Lại bộ Hồ Đồn..."
