nodeId,label
Thể loại:Hoàng tộc đồng tính nam,NhanVat
Minh Mạng chính yếu,NhanVat
Nguyễn Hoàng,NhanVat
Thể loại:Hoàng tử Gia Long,NhanVat
Chúa Trịnh,NhanVat
"Đường Hàm Nghi, Thành phố Hồ Chí Minh",NhanVat
Hựu Thiên Thuần hoàng hậu,NhanVat
Thái Bình Dương,NhanVat
8 tháng 2,NhanVat
11 tháng 1,NhanVat
miền Nam Việt Nam,NhanVat
vương triều Chakri,NhanVat
Doãn Uẩn,NhanVat
Cannes,NhanVat
Trương Thị Vĩnh,NhanVat
Thiếu úy,NhanVat
Đỗ Thị Tùng,NhanVat
Nguyễn Tiến Lâm,NhanVat
sở Hoạn dưỡng,NhanVat
20 tháng 11,NhanVat
Tập tin:Sépulture de l'empereur Bao Dai (Bảo Đại) - Cimetière de Passy 01.JPG,NhanVat
5 tháng 8,NhanVat
Khmer,NhanVat
Xơ gan,NhanVat
Bảo Lạc,NhanVat
Lorraine,NhanVat
Sinh Trung,NhanVat
vàng,NhanVat
Quảng Yên,NhanVat
Bình Thuận,NhanVat
#Ổn định Nam Hà,NhanVat
olivier de Puymanel,NhanVat
Hoàng thái hậu,NhanVat
Võ Di Nguy,NhanVat
nhà Mạc,NhanVat
Chúa Nguyễn,NhanVat
Mậu Tý,NhanVat
Trường Đại học Kiến trúc Sài Gòn,NhanVat
27 tháng 4,NhanVat
Nguyên thủ quốc gia,NhanVat
24 tháng 4,NhanVat
Châu Phi Xích Đạo thuộc Pháp,NhanVat
Thonac,NhanVat
#Gia quyến,NhanVat
hỏa,NhanVat
Cuộc nổi dậy ở Ba Xuyên (1841),NhanVat
báo chí,NhanVat
Chu Tuyên vương,NhanVat
Cao Xuân Dục,NhanVat
7 tháng 9,NhanVat
Đông Sơn (quân đội),NhanVat
#Hậu cung,NhanVat
quan hệ giữa Nguyễn Ánh và người Pháp,NhanVat
Thể loại:Người Việt Nam trong chiến tranh Việt Nam,NhanVat
Tôn Thất Thuyết,NhanVat
sông Ông Đốc,NhanVat
mét,NhanVat
Kiến Phúc,NhanVat
Hiếu lăng,NhanVat
nghị sĩ,NhanVat
Cái Văn Hợp,NhanVat
Đảng Cộng sản Pháp,NhanVat
Nguyễn Phúc Bửu Tủng,NhanVat
Tập tin:Rạch Gầm-Xoài Mút 2.JPG,NhanVat
Hàm Nghi,NhanVat
euro,NhanVat
Bến Nghé,NhanVat
Nguyễn Thị Trường,NhanVat
gạo,NhanVat
tôn giáo,NhanVat
lưu vong,NhanVat
Quân đội nhà Nguyễn,NhanVat
Thể loại:Bảo Đại,NhanVat
Trương Quang Đản,NhanVat
Nguyễn Phúc Thận Huy,NhanVat
Thể loại:Nghĩa quân chống Pháp,NhanVat
La Gi,NhanVat
Spencer C. Tucker,NhanVat
Nguyễn Phúc Ngọc Nguyệt,NhanVat
Tôn Thất Úy,NhanVat
Chưởng cơ Thiêm,NhanVat
Huyện Sỹ,NhanVat
Thể loại:Hoàng tử Tự Đức,NhanVat
Nguyễn Thị Tính,NhanVat
Tiền Giang,NhanVat
Chính phủ Vichy,NhanVat
Chính phủ Việt Nam#Lịch sử,NhanVat
Thể loại:Hoàng tử Khải Định,NhanVat
đồng hồ Bảo Đại,NhanVat
"Giai thoại và sự thật về Bảo Đại, vua cuối cùng Triều Nguyễn",NhanVat
Nguyễn Phúc Chẩn,NhanVat
Đô la Tây Ban Nha,NhanVat
Tháng sáu,NhanVat
Mường,NhanVat
Ninh Bình,NhanVat
Nguyễn Văn Hoằng,NhanVat
8 tháng 5,NhanVat
15 tháng 5,NhanVat
Vàm Nao (sông),NhanVat
Nguyễn Phúc Bửu Lũy,NhanVat
thiên tai,NhanVat
Tập tin:Tombe de Gia Long.JPG,NhanVat
Nguyễn Phúc Tĩnh Hảo,NhanVat
Pháo,NhanVat
Thể loại:Chôn cất tại nghĩa trang Passy,NhanVat
Trùng Khánh,NhanVat
đê,NhanVat
Pierre-Paul de La Grandière,NhanVat
Nguyễn Phúc Ngọc Tú,NhanVat
Joseph Marchand,NhanVat
Archimedes L.A Patti,NhanVat
bộ Hộ,NhanVat
khủng bố,NhanVat
Nguyễn Phúc Bửu Lân,NhanVat
Nhà xuất bản Văn Nghệ Thành phố Hồ Chí Minh,NhanVat
hòn Đá Chồng,NhanVat
vịnh Hạ Long,NhanVat
Sai Yok (huyện),NhanVat
Thể loại:Người Thanh Hóa,NhanVat
Chính phủ Quốc gia Việt Nam,NhanVat
"Sacramento, California",NhanVat
Nguyễn Phúc Dĩ Hy,NhanVat
Thái Giáp,NhanVat
Nội các,NhanVat
Mai Đức Nghị,NhanVat
Nguyễn Phúc Bảo Ân,NhanVat
Côn Đảo,NhanVat
Vùng miền Trung,NhanVat
Charles Rigault de Genouilly,NhanVat
5 tháng 11,NhanVat
Nghiêm Kế Tổ,NhanVat
Hải Phòng,NhanVat
Tuyên Hóa,NhanVat
Đồng Khánh#Gia quyến,NhanVat
Nguyễn Văn Tường,NhanVat
Nguyễn Thị Huyên,NhanVat
người Việt,NhanVat
Khách Lam Đường,NhanVat
13 tháng 5,NhanVat
Lưu Phước Tường,NhanVat
Lên đồng,NhanVat
Phong trào giải phóng dân tộc Việt Nam (1885–1945),NhanVat
hòn Chông,NhanVat
Mạc Kính Cung,NhanVat
15 tháng 9,NhanVat
Nouvelle-Aquitaine,NhanVat
Niên hiệu,NhanVat
8 tháng 1,NhanVat
họ Hồ,NhanVat
Công giáo Rôma,NhanVat
Tập tin:清 佚名 《清仁宗嘉庆皇帝朝服像》.jpg,NhanVat
quân Cờ đen,NhanVat
10 tháng 9,NhanVat
Tây Ban Nha,NhanVat
Từ Dụ,NhanVat
phúc thần,NhanVat
Cuộc bao vây thành Quy Nhơn,NhanVat
Phan Rí Cửa,NhanVat
cuộc nổi dậy Lê Văn Khôi,NhanVat
Lê Thị Lộc,NhanVat
Monique Marie Eugene Baudot,NhanVat
thế kỷ XIX,NhanVat
24 tháng 10,NhanVat
Tập tin:L'empereur Khai Dinh à Hué (...)Agence de btv1b90244044 1.jpg,NhanVat
Bến Lức,NhanVat
Lê Hiển Tông,NhanVat
Nguyễn Phúc Hồng Cai,NhanVat
Nguyễn Phúc Vĩnh Khuê,NhanVat
Nhật Bản,NhanVat
thuế sản vật,NhanVat
Cung tần,NhanVat
20 tháng 4,NhanVat
16 tháng 9,NhanVat
5 tháng 7,NhanVat
Võ Tánh,NhanVat
Lê Thánh Tông,NhanVat
Nguyễn Thị Thúy Trúc,NhanVat
6 tháng 11,NhanVat
thuốc súng,NhanVat
26 tháng 8,NhanVat
"Phước Vĩnh, Huế",NhanVat
16 tháng 8,NhanVat
Nguyễn Phúc Vĩnh Tiến,NhanVat
lục bộ,NhanVat
súng thần công,NhanVat
Vương Hồng Sển,NhanVat
Thoại Ngọc Hầu,NhanVat
Thomas Conway,NhanVat
16 tháng 3,NhanVat
Nguyễn Công Tiệp,NhanVat
Phủ Toàn quyền Đông Dương,NhanVat
trầu cau,NhanVat
19 tháng 9,NhanVat
Hoàng Kế Viêm,NhanVat
Đặng Trần Thường,NhanVat
Lê Duy Đản,NhanVat
Trần Tiến Thành,NhanVat
bốn tháng ba vua,NhanVat
Thể loại:Nhà Nho Việt Nam,NhanVat
Tập tin:Vua Duy Tân (1907).jpg,NhanVat
Tuần phủ,NhanVat
"Chiến tranh Tây Sơn-Chúa Nguyễn, 1787-1802#Tây Sơn tiêu diệt chúa Nguyễn",NhanVat
Việt Nam Cách mệnh Đồng minh Hội,NhanVat
Lê Văn Khôi,NhanVat
26 tháng 10,NhanVat
Bá Đa Lộc,NhanVat
Nguyễn Đăng Sở,NhanVat
Tập tin:Án thờ Gia Long.jpg,NhanVat
Võ Liêm,NhanVat
Chiến tranh thế giới thứ nhất,NhanVat
Liễu Thăng#Người vàng Liễu Thăng,NhanVat
xây dựng,NhanVat
Sa Đéc,NhanVat
Việt kiều,NhanVat
giáo hoàng,NhanVat
Phạm Phú Thứ,NhanVat
chiến tranh,NhanVat
Nguyễn Huệ#Tôn giáo,NhanVat
Giáp Tuất,NhanVat
Nguyễn Quang Siêu,NhanVat
Thanh niên hành khúc,NhanVat
Lê Thái Tổ,NhanVat
Thái Lan,NhanVat
11 tháng 12,NhanVat
phương (định hướng),NhanVat
công chúa Phục Lễ,NhanVat
Tập tin:Jean-Baptiste Chaigneau portrait 1805.jpg,NhanVat
Tổng đốc Chu,NhanVat
Duy Tân,NhanVat
Ma Ly,NhanVat
7 tháng 4,NhanVat
diện tích,NhanVat
Hoàng Thị Dĩnh,NhanVat
16 tháng 11,NhanVat
Các cuộc nổi dậy ở Hà Tiên (1840),NhanVat
Lăng Đồng Khánh,NhanVat
Truyện Kiều,NhanVat
lịch sử Việt Nam,NhanVat
Nguyễn Trường Tộ,NhanVat
sức khỏe,NhanVat
Diệp Văn Cương,NhanVat
Cộng hòa Trung Phi,NhanVat
Vicky,NhanVat
hoàng hậu,NhanVat
thụy,NhanVat
Lê Thị Bính,NhanVat
Đỗ Thị Tâm (nhà Nguyễn),NhanVat
Quần,NhanVat
Gia Khánh,NhanVat
Hải Dương,NhanVat
15 tháng 1,NhanVat
Edmund Roberts,NhanVat
thuộc địa,NhanVat
Thể loại:Vua Việt Nam,NhanVat
tên thánh,NhanVat
Patrick-Édouard Bloch,NhanVat
nhà Hồ,NhanVat
Nguyễn Phúc Ngọc Anh,NhanVat
Sân bay Quốc tế Đà Nẵng,NhanVat
Trương Phước Nhạc,NhanVat
Tuy Lý Vương,NhanVat
điện Hoà Khiêm,NhanVat
J. M. Despiau,NhanVat
6 tháng 4,NhanVat
Hương Sơn,NhanVat
triều Lý,NhanVat
thơ,NhanVat
Quảng Ngãi,NhanVat
Vàm Cỏ Đông,NhanVat
Đô la Hồng Kông,NhanVat
Wikt:tư thù,NhanVat
Nguyễn Phúc Miên Miêu,NhanVat
đích tôn thừa trọng,NhanVat
Clément,NhanVat
Cường Để,NhanVat
Mã Sĩ Anh,NhanVat
Phiên Trấn,NhanVat
Lâm Duy Hiệp,NhanVat
Tam Pháp Ty (nhà Nguyễn),NhanVat
Thể loại:Bắc Đẩu Bội tinh hạng nhất,NhanVat
Ngô Đức Kế,NhanVat
Chiến tranh Việt–Xiêm (1841-1845),NhanVat
8 tháng 9,NhanVat
Bồ Đào Nha,NhanVat
Nguyễn Phúc Luân,NhanVat
Ernestine Yvette Maillot,NhanVat
thuyết domino,NhanVat
Vigeois,NhanVat
Giản Tông,NhanVat
19 tháng 2,NhanVat
Jean-Marie Dayot,NhanVat
Phạm Thận Duật,NhanVat
Đô sát viện nhà Nguyễn,NhanVat
2 tháng 10,NhanVat
Nguyễn Gia Quý,NhanVat
Nguyễn Phúc Phương An,NhanVat
Biên Hòa,NhanVat
Trần Đình Túc,NhanVat
phân bộ Châu chấu,NhanVat
Nguyễn Phúc Hồng Sâm,NhanVat
đảo Côn Lôn,NhanVat
Jules Patenôtre,NhanVat
Vũ Đình Khanh,NhanVat
Nam Định,NhanVat
thuế,NhanVat
Cách mạng Pháp,NhanVat
Ba Ngòi,NhanVat
Nguyễn Phúc Phương Thảo,NhanVat
hoàng nữ,NhanVat
Phạm Đan Quế,NhanVat
máy xẻ gỗ,NhanVat
Trương Minh Giảng,NhanVat
15 tháng 7,NhanVat
14 tháng 1,NhanVat
người Nùng,NhanVat
1 tháng 12,NhanVat
Nguyễn Phúc Hồng Phi,NhanVat
Cơ mật viện,NhanVat
Đô la thương mại,NhanVat
Vĩnh Trấn,NhanVat
Nguyễn Phúc Mân,NhanVat
Hoàng thái tử,NhanVat
Quách Tất Thúc,NhanVat
Nguyễn Nhạc,NhanVat
đi học,NhanVat
Nguyễn Phước Mân,NhanVat
Nguyễn Văn Hinh,NhanVat
phong kiến,NhanVat
Nam Phương,NhanVat
Cam Lộ,NhanVat
nhà Hậu Lê,NhanVat
Nguyễn Huy Tự,NhanVat
Châu Đốc,NhanVat
Bắc Kạn,NhanVat
13 tháng 1,NhanVat
Phan Bá Vành,NhanVat
Tự Đức,NhanVat
Tên húy,NhanVat
Rama II,NhanVat
Khiêm lăng,NhanVat
Nam Kỳ Lục tỉnh,NhanVat
Tôn Thất Xuân,NhanVat
Xu bạc,NhanVat
Tổng thống Hoa Kỳ,NhanVat
Tôn Thất Đàn,NhanVat
Marcelle Laloe,NhanVat
Tập tin:Dien Khanh front gate.JPG,NhanVat
Bán đảo Đông Dương,NhanVat
quốc kỳ Việt Nam Cộng hòa,NhanVat
Katip Sumat,NhanVat
Nguyễn Thị Hạnh,NhanVat
Thành Bát Quái,NhanVat
thế kỷ XVIII,NhanVat
Tư Lăng,NhanVat
chùa Thiên Mụ,NhanVat
Mỹ nhân,NhanVat
Miên Lịch,NhanVat
Giáp Ngọ,NhanVat
Vũ Huy Trịnh,NhanVat
Nguyễn Thị Bích (nhà thơ),NhanVat
triều đại,NhanVat
Nhà Tiền Lê,NhanVat
Nguyễn Phúc Lương Huy,NhanVat
toàn quyền Đông Dương,NhanVat
Ngô Thì Nhậm,NhanVat
Móng Cái,NhanVat
Giáp Tí,NhanVat
Việt Nam Quang phục Hội,NhanVat
28 tháng 5,NhanVat
Tập tin:Prince Canh MEP.jpg,NhanVat
Encyclopædia Britannica,NhanVat
áo thun,NhanVat
Tống Thị Lan,NhanVat
Nguyễn Ánh,NhanVat
Cần Thơ,NhanVat
réunion,NhanVat
Vichy (quận),NhanVat
Tiền tệ Việt Nam thời Nguyễn#Các đồng tiền do nhà Nguyễn phát hành,NhanVat
15 tháng 6,NhanVat
Lưỡng Quảng,NhanVat
Hán Cao Tổ,NhanVat
Nguyễn Phúc Vĩnh Uyển,NhanVat
Minh Mạng,NhanVat
Tập tin:Imperial Tomb of Emperor Minh Mang (12088469713).jpg,NhanVat
29 tháng 10,NhanVat
Nguyễn Khắc Thiệu,NhanVat
Kim Long,NhanVat
Thủy Xuân,NhanVat
Georges Thierry d'Argenlieu,NhanVat
Marcel Gaultier,NhanVat
25 tháng 8,NhanVat
thương mại,NhanVat
Lăng tẩm Huế#Lăng Hiệp Hòa,NhanVat
Tổng thống Việt Nam Cộng hòa,NhanVat
8 tháng 4,NhanVat
Nguyễn Phúc Vĩnh Trân,NhanVat
Tập tin:Tomb of DongKhanh1.JPG,NhanVat
lăng,NhanVat
Mạc Công Bính,NhanVat
Triệu Đà,NhanVat
16 tháng 12,NhanVat
Lê Duy Lương,NhanVat
Thuế thân,NhanVat
buôn lậu,NhanVat
27 tháng 12,NhanVat
Nguyễn Tình,NhanVat
Danh sách Đại biểu Quốc hội Việt Nam khóa I theo tỉnh thành,NhanVat
Chăm,NhanVat
9 tháng 12,NhanVat
Lê Đình Vũ,NhanVat
8 tháng 7,NhanVat
tàu pháo,NhanVat
Trương Thị Thận,NhanVat
trang phục,NhanVat
Vũ Tuấn,NhanVat
Nguyễn Phúc Quân,NhanVat
mùa hạ,NhanVat
Thể loại:Khởi nghĩa Vua Duy Tân,NhanVat
Tống Phước Luông,NhanVat
Vịnh Thái Lan,NhanVat
Tháng tám,NhanVat
Hoàng triều Nguyễn,NhanVat
Viện cơ mật (Huế),NhanVat
Tập tin:Bản Đồ Xứ Gia Định Hậu Bản XVIII.png,NhanVat
3 tháng 6,NhanVat
lạng vàng,NhanVat
5 tháng 2,NhanVat
Băng Cốc,NhanVat
Đền Hiển Trung,NhanVat
Thái Hòa,NhanVat
14 tháng 3,NhanVat
Nguyễn Phúc Ngọc Vân,NhanVat
Nguyễn Văn Thành (quan nhà Nguyễn),NhanVat
Gia Định thành,NhanVat
Tống Phúc Thiêm,NhanVat
Nguyễn Phúc Phương Dung,NhanVat
Nguyễn Trọng Cẩn,NhanVat
6 tháng 6,NhanVat
Koh Rong,NhanVat
Nguyễn Phúc Hồng Sanh,NhanVat
12 tháng 2,NhanVat
Hòa Nghĩa,NhanVat
Trần Huy Liệu,NhanVat
"Tập tin:Minh Mạng thông bảo, 1820-1840 AD - Museum of Vietnamese History - Ho Chi Minh City - DSC05936.JPG",NhanVat
Nguyễn Phúc Ngọc Quỳnh,NhanVat
Chiến tranh Việt-Xiêm (1833&ndash;1834),NhanVat
Hoàng Tá Viêm,NhanVat
Thể loại:Mất năm 1925,NhanVat
Tập tin:Pigneau de Behaine portrait.jpg,NhanVat
Société des Missions Étrangères,NhanVat
Đế quốc thực dân Pháp,NhanVat
30 tháng 4,NhanVat
Tập tin:Võ_Tánh_Trung_tiết_anh_hùng.png,NhanVat
"Hòa ước Quý Mùi, 1883",NhanVat
phong trào Cần Vương,NhanVat
Nguyễn Phúc Ngọc Cửu,NhanVat
Toàn quyền Đông Dương,NhanVat
Hồ Thị Tùy,NhanVat
người Thái,NhanVat
Châu Âu,NhanVat
giáo sĩ,NhanVat
trượt tuyết,NhanVat
đế quốc thực dân Pháp,NhanVat
Nguyễn Đình Đầu,NhanVat
Nguyễn Văn Tuấn,NhanVat
Tập tin:Emperor Ham Nghi.jpg,NhanVat
miền Nam Thái Lan,NhanVat
Nguyễn Phúc Miên Triện,NhanVat
17 tháng 8,NhanVat
Đàng Trong,NhanVat
sinh học,NhanVat
sông Hương,NhanVat
cầu Giấy,NhanVat
Hoàng tử Bảo Thắng,NhanVat
thế kỷ 19,NhanVat
Thượng Bạc Viện,NhanVat
lịch sử,NhanVat
đạn,NhanVat
26 tháng 12,NhanVat
thuế đinh,NhanVat
Jack Warner,NhanVat
Nguyễn Phúc Vĩnh Hy,NhanVat
Tập tin:Dam cuoi vua Ham Nghi.jpg,NhanVat
nông dân,NhanVat
Nam Hà,NhanVat
cải cách,NhanVat
20 tháng 6,NhanVat
Phan Thị Nhàn,NhanVat
Thành Thái#Con cái,NhanVat
Alfred Mame et fils,NhanVat
13 tháng 6,NhanVat
Tháng ba,NhanVat
Tiền Việt Nam#Tiền nhà Nguyễn,NhanVat
Nguyễn Như Khuê,NhanVat
Tôn Thất Tiệp,NhanVat
Tập tin:Duy Tân Emperor.jpg,NhanVat
Phạm Văn Điển,NhanVat
Nguyễn Phúc Hồng Truyền,NhanVat
Hương Thủy,NhanVat
Nguyễn Phúc Vĩnh Giác,NhanVat
Khải Định,NhanVat
tàu,NhanVat
Trần Hữu Khác,NhanVat
2 tháng 12,NhanVat
Phan Rang,NhanVat
Nguyễn Quang Toản,NhanVat
Xiengkhuang,NhanVat
Bắc Bộ Việt Nam,NhanVat
11 tháng 3,NhanVat
tàu chiến,NhanVat
Nam Việt,NhanVat
Saint-Pierre-de-Chaillot,NhanVat
Khâm định Việt sử Thông giám cương mục,NhanVat
Đạo Quang,NhanVat
Hoa Tiên,NhanVat
Viện cơ mật,NhanVat
Kampot,NhanVat
Quốc tử giám,NhanVat
quận 10,NhanVat
buổi trưa,NhanVat
Thừa Thiên Cao Hoàng Hậu,NhanVat
Chabrignac,NhanVat
Thể loại:Hoàng tử Thành Thái,NhanVat
Tạ Quang Cự,NhanVat
Tham tán Quân vụ,NhanVat
Nguyễn Hữu Bài,NhanVat
Thể loại:Mất năm 1884,NhanVat
Chính phủ,NhanVat
bạo loạn,NhanVat
Trận Thị Nại (1801),NhanVat
Nguyễn Tri Phương,NhanVat
wikt:quốc khố#Tiếng Việt,NhanVat
Việt sử toàn thư,NhanVat
Muang Phuan,NhanVat
